artist_name,track_name,track_id,track_popularity,artist_id,is_running,genre
Taylor Swift,Look What You Made Me Do,1P17dC1amhFzptugyAO7Il,86,06HL4z0CvFAxyc27GXpf02,1,['pop']
Joel Corry,Lonely,2ZEq4HT450Ye9IFGPTl9qV,64,6DgP9otnZw5z6daOntINxp,1,"['dance pop', 'pop dance', 'uk dance']"
Kylie Minogue,Padam Padam,3k0DJq2HdWJqnqor8NX0ac,83,4RVnAU35WRWra6OZ3CbbMA,1,"['australian dance', 'australian pop', 'dance pop', 'eurodance', 'new wave pop']"
Black Eyed Peas,Pump It,2ygMBIctKIAfbEBcT9065L,79,1yxSLGMDHlW21z4YXirZDS,1,"['dance pop', 'pop', 'pop rap']"
Florence + The Machine,Spectrum (Say My Name) - Calvin Harris Remix,57yeWyaoeTt26p0dlEZukQ,74,1moxjboGR7GNWYIMWsRjgG,1,"['baroque pop', 'modern rock', 'uk alternative pop']"
DNCE,Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC,84,6T5tfhQCknKG4UnH90qGnz,1,"['dance pop', 'pop']"
Santigold,GO! (feat. Karen O),2hxSwyXevgF9G8LyL0LWhQ,56,6Jrxnp0JgqmeUX1veU591p,1,"['alternative dance', 'indietronica', 'neo-synthpop']"
Survivor,Eye of the Tiger,2HHtWyy5CgaQbC7XSoOb0e,78,26bcq2nyj5GB7uRr558iQg,1,"['album rock', 'glam metal', 'hard rock', 'soft rock']"
ATB,Your Love (9PM),5YaskwnGDZFDRipaqzbwQx,79,7jZM5w05mGhw6wTB1okhD9,1,"['german dance', 'german techno', 'german trance', 'trance']"
Calvin Harris,Blame (feat. John Newman),07nH4ifBxUB4lZcsf44Brn,80,7CajNmpbOovFoOoasH2HaY,1,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
The Chainsmokers,Roses (feat. ROZES) - Zaxx Remix,5MgBUUjbkQ27Kd9CbeZFLo,58,69GGBxA162lTqCwzJG5jLp,1,"['electropop', 'pop']"
Taylor Swift,Out Of The Woods,0qUnBLZ8bJqUNEeQgayL9t,78,06HL4z0CvFAxyc27GXpf02,1,['pop']
Flo Rida,Good Feeling,2LEF1A8DOZ9wRYikWgVlZ8,79,0jnsk9HBra6NMjO2oANoPY,1,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
Ava Max,My Head & My Heart,1KixkQVDUHggZMU9dUobgm,79,4npEfmQ6YuiwW1GpUmaq3F,1,['pop']
John Legend,All of Me - Tiësto's Birthday Treatment Remix - Radio Edit,1mzGywacjpeik00PVLBPpF,64,5y2Xq6xcjJb2jVM54GHK3t,1,"['neo soul', 'pop', 'pop soul', 'urban contemporary']"
